Record,Time,Distance,Unfiltered Distance
1,0.05,0,0
2,0.1,0,0
3,0.15,0,0
4,0.2,0,0
5,0.25,0,0
6,0.3,0,0
7,0.35,0.3699,0.3699
8,0.4,0.3667,0.3667
9,0.45,0.3667,0.3667
10,0.5,0,0
11,0.55,0,0
12,0.6,0.3677,0.3677
13,0.65,0,0
14,0.7,0,0
15,0.75,0,0
16,0.8,0,0
17,0.85,0,0
18,0.9,0,0
19,0.95,0,0
20,1,0,0
21,1.05,0,0
22,1.1,0,0
23,1.15,0,0
24,1.2,0,0
25,1.25,0,0
26,1.3,0,0
27,1.35,0,0
28,1.4,0.3523,0.3523
29,1.45,0,0
30,1.5,0,0
31,1.55,0,0
32,1.6,0,0
33,1.65,0,0
34,1.7,0,0
35,1.75,0,0
36,1.8,0,0
37,1.85,0,0
38,1.9,0,0
39,1.95,0,0
40,2,0,0
41,2.05,0,0
42,2.1,0,0
43,2.15,0,0
44,2.2,0,0
45,2.25,0,0
46,2.3,0,0
47,2.35,0,0
48,2.4,0,0
49,2.45,0,0
50,2.5,0,0
51,2.55,0,0
52,2.6,0,0
53,2.65,0,0
54,2.7,0,0
55,2.75,0,0
56,2.8,0,0
57,2.85,0,0
58,2.9,0,0
59,2.95,0,0
60,3,0.351,0.351
61,3.05,0,0
62,3.1,0,0
63,3.15,0,0
64,3.2,0,0
65,3.25,0,0
66,3.3,0,0
67,3.35,0,0
68,3.4,0,0
69,3.45,0,0
70,3.5,0,0
71,3.55,0,0
72,3.6,0,0
73,3.65,0,0
74,3.7,0,0
75,3.75,0,0
76,3.8,0,0
77,3.85,0,0
78,3.9,0,0
79,3.95,0,0
80,4,0,0
81,4.05,0,0
82,4.1,0,0
83,4.15,0,0
84,4.2,0,0
85,4.25,0,0
86,4.3,0,0
87,4.35,0,0
88,4.4,0,0
89,4.45,0,0
90,4.5,0,0
91,4.55,0,0
92,4.6,0,0
93,4.65,0,0
94,4.7,0,0
95,4.75,0,0
96,4.8,0,0
97,4.85,0,0
98,4.9,0,0
99,4.95,0,0
100,5,0,0
101,5.05,0,0
102,5.1,0,0
103,5.15,0,0
104,5.2,0,0
105,5.25,0,0
106,5.3,0,0
107,5.35,0,0
108,5.4,0,0
109,5.45,0,0
110,5.5,0,0
111,5.55,0,0
112,5.6,0,0
113,5.65,0,0
114,5.7,0,0
115,5.75,0,0
116,5.8,0,0
117,5.85,0,0
118,5.9,0,0
119,5.95,0,0
120,6,0,0
121,6.05,0,0
122,6.1,0,0
123,6.15,0,0
124,6.2,0,0
125,6.25,0,0
126,6.3,0,0
127,6.35,0,0
128,6.4,0,0
129,6.45,0,0
130,6.5,0,0
131,6.55,0,0
132,6.6,0,0
133,6.65,0.3686,0.3686
134,6.7,0.3686,0.3686
135,6.75,0,0
136,6.8,0,0
137,6.85,0,0
138,6.9,0,0
139,6.95,0,0
140,7,0.369,0.369
141,7.05,0,0
142,7.1,0,0
143,7.15,0.35,0.35
144,7.2,0.3505,0.3505
145,7.25,0.3505,0.3505
146,7.3,0,0
147,7.35,0,0
148,7.4,0,0
149,7.45,0.3489,0.3489
150,7.5,0,0
151,7.55,0,0
152,7.6,0,0
153,7.65,0,0
154,7.7,0,0
155,7.75,0,0
156,7.8,0,0
157,7.85,0,0
158,7.9,0,0
159,7.95,0,0
160,8,0.35,0.35
161,8.05,0.35,0.35
162,8.1,0,0
163,8.15,0,0
164,8.2,0,0
165,8.25,0,0
166,8.3,0,0
167,8.35,0,0
168,8.4,0,0
169,8.45,0,0
170,8.5,0,0
171,8.55,0,0
172,8.6,0.3668,0.3668
